ID,Type of Maxim,Context,Statement,MCQ,OEQ,MCQ Answer,MCQ Details,OEQ Answer
1,quantity,철수는 친구의 작은 실수 때문에 기분이 상해 있다. 친구를 어떻게 대해야 할지 고민하는 철수에게 영희가 말한다.,"""철수야, 좋은 게 좋은 거야.""","다음 보기에서 위 발화가 갖는 가장 적절한 의미를 고르세요.
(1) 친구와 좋은 관계를 유지하는 것이 좋다.
(2) 좋은 것은 좋은 것이다. 
(3) 철수의 기분이 좋은 쪽으로 행동하는 것이 좋다. 
(4) 일에 집중하는 것도 좋지만 가끔은 휴식을 취해야 한다. ",위 발화가 갖는 가장 적절한 의미를 서술하세요.,1,"(1) answer
(2) literal interpretation
(3) wrong implicature within context
(4) wrong implicature out of context",친구와 좋은 관계를 유지하라는 의미
2,quantity,학생이 교수에게 과제의 마감 기한을 조금만 더 늘려 주실 수 없냐고 부탁하자 교수가 말한다.,"""규칙은 규칙일세.""","다음 보기에서 위 발화가 갖는 가장 적절한 의미를 고르세요.
(1) 규칙은 지켜져야만 하므로 마감 기한을 늘릴 수 없다.
(2) 규칙은 규칙이다. 
(3) 규칙을 깨는 것은 큰 문제가 되지 않으므로 학생에게 기회를 주겠다. 
(4) 교수는 연구 끝에 새로운 이론을 발견했다.",위 발화가 갖는 가장 적절한 의미를 서술하세요.,1,"(1) answer
(2) literal interpretation
(3) wrong implicature within context
(4) wrong implicature out of context",규칙은 지켜야 한다는 의미
3,quantity,민수가 가진 재능을 부러워 하며 우울해 하는 철수에게 영희가 말한다.,"""민수는 민수고, 너는 너야.""","다음 보기에서 위 발화가 갖는 가장 적절한 의미를 고르세요.
(1) 민수와 철수의 인생에는 각자 다른 가치가 있다.
(2) 민수는 민수이고, 철수는 철수이다.  
(3) 민수는 철수와 달리 뛰어난 재능을 가졌으므로 대등해지고자 해서는 안 된다.  
(4) 영희는 민수를 좋아한다. ",위 발화가 갖는 가장 적절한 의미를 서술하세요.,1,"(1) answer
(2) literal interpretation
(3) wrong implicature within context
(4) wrong implicature out of context",각자의 인생에 다른 가치가 있으니 비교하지 말라는 의미
4,quantity,소규모의 지역 축제에 유명하지 않은 가수가 와서 노래를 부르고 있다. 노래를 듣고 있던 철수가 말한다.,"""가수는 가수다.""","다음 보기에서 위 발화가 갖는 가장 적절한 의미를 고르세요.
(1) 저 가수는 비록 유명하지는 않지만 훌륭한 노래 실력을 가지고 있다. 
(2) 가수는 가수이다. 
(3) 가수라고 해서 다 노래를 잘하는 것은 아니다. 
(4) 내일은 다른 곳으로 놀러 가고 싶다. ",위 발화가 갖는 가장 적절한 의미를 서술하세요.,1,"(1) answer
(2) literal interpretation
(3) wrong implicature within context
(4) wrong implicature out of context",비록 유명하지 않지만 가수라는 직업에 걸맞게 노래를 잘한다는 의미.
5,quantity,철수는 오랜 기간 사귀던 연인과 헤어진 지 1년이 되었다. 영희가 철수에게 아직 이전 연인을 그리워하는지 묻자 철수가 대답한다.,"""과거는 과거야.""","다음 보기에서 위 발화가 갖는 가장 적절한 의미를 고르세요.
(1) 철수는 지나간 연인에게 더 이상 큰 의미를 가지고 있지 않다. 
(2) 과거는 과거이다.  
(3) 철수는 과거의 일에 얽매여 현재에 충실하지 못하고 있다.  
(4) 철수와 영희는 오랜 친구이다. ",위 발화가 갖는 가장 적절한 의미를 서술하세요.,1,"(1) answer
(2) literal interpretation
(3) wrong implicature within context
(4) wrong implicature out of context",지나간 연인이 더 이상 큰 의미를 가지고 있지 않다는 의미
6,quantity,장기간 취업을 준비한 끝에 영희는 꿈에 그리던 회사에 취직했다. 회사 생활이 어떤지 묻는 철수에게 영희가 대답한다.,"""직장은 직장이야.""","다음 보기에서 위 발화가 갖는 가장 적절한 의미를 고르세요.
(1) 기대와 달리 직장생활이 녹록치만은 않다. 
(2) 직장은 직장이다.   
(3) 원하던 회사에 취직해서 하루 하루가 꿈만 같다. 
(4) 철수와 영희는 대학교 동아리에서 처음 만났다. ",위 발화가 갖는 가장 적절한 의미를 서술하세요.,1,"(1) answer
(2) literal interpretation
(3) wrong implicature within context
(4) wrong implicature out of context",기대와 달리 직장생활이 녹록치만은 않다는 의미
7,quantity,같은 동아리에 속한 철수와 영희는 지난 주 동아리 모임에서 말다툼을 했다. 오늘 모임 시간이 다 되어 가도록 철수가 나타나지 않는다. 동아리 친구인 민수가 영희에게 철수가 오지 않는지 물었고 영희는 다음과 같이 대답했다.,"""오든지 안 오든지 하겠지.""","다음 보기에서 위 발화가 갖는 가장 적절한 의미를 고르세요.
(1) 영희는 철수가 오거나 안 오거나 상관하지 않을 것이다. 
(2) 철수는 올 수도 있고 안 올 수도 있다.    
(3) 영희는 철수에게 사과를 하기로 마음 먹었다. 
(4) 영희는 말솜씨가 좋지 않다. ",위 발화가 갖는 가장 적절한 의미를 서술하세요.,1,"(1) answer
(2) literal interpretation
(3) wrong implicature within context
(4) wrong implicature out of context",오거나 안 오거나 상관하지 않겠다는 의미
8,quantity,강한 상대 팀과의 중요한 시합을 앞두고 모인 축구 선수들에게 감독이 이야기한다.,"""결과는 이기거나 지거나 둘 중 하나다.""","다음 보기에서 위 발화가 갖는 가장 적절한 의미를 고르세요.
(1) 상대가 강한 팀이더라도 결과는 이기거나 지거나 둘 중 하나일 뿐이니 위축되지 말고 최선을 다 하자. 
(2) 축구 경기를 마친 뒤 팀의 승리 또는 패배가 판정된다.     
(3) 이번 경기에서 이길 가능성이 크지 않다.  
(4) 축구팀 감독은 쉽지 않은 직업이다. ",위 발화가 갖는 가장 적절한 의미를 서술하세요.,1,"(1) answer
(2) literal interpretation
(3) wrong implicature within context
(4) wrong implicature out of context",상대가 아무리 강해도 결과는 이기거나 지거나 둘 중 하나일 뿐이니 위축되지 말고 최선을 다하자는 의미
9,quantity,철수가 영희를 위해 힘들게 구한 시험 기출 문제를 영희에게 건네 주며 말한다.,"""보든지 말든지 해.""","다음 보기에서 위 발화가 갖는 가장 적절한 의미를 고르세요.
(1) 영희가 기출 문제를 보지 않을 수도 있겠지만 봤으면 좋겠다.  
(2) 영희는 시험 전에 기출 문제를 살펴볼 수도 있고, 살펴보지 않을 수도 있다.   
(3) 철수는 사실 영희를 위해 기출 문제를 구하지 않았다. 
(4) 대학생들은 고등학생들보다 열심히 공부해야 한다. ",위 발화가 갖는 가장 적절한 의미를 서술하세요.,1,"(1) answer
(2) literal interpretation
(3) wrong implicature within context
(4) wrong implicature out of context",영희가 보지 않을 수 있을 것 같지만 봤으면 좋겠다는 의미.
10,quantity,영희는 직장동료인 철수에게 어떤 신입사원이 들어올 것 같은 지 물었고 철수는 다음과 같이 대답했다.,"""아마 남자 아니면 여자일 거야.""","다음 보기에서 위 발화가 갖는 가장 적절한 의미를 고르세요.
(1) 철수는 신입사원에 대해 알고 있는 것이 없다. 
(2) 철수는 신입사원이 남자 아니면 여자일 것이라고 추측한다. 
(3) 철수는 성별과 무관하게 일을 잘하는 직원이 들어오기를 바란다.  
(4) 직장생활에서 가장 힘든 것은 인간관계다. ",위 발화가 갖는 가장 적절한 의미를 서술하세요.,1,"(1) answer
(2) literal interpretation
(3) wrong implicature within context
(4) wrong implicature out of context",모른다는 의미 (+ 농담)
11,quantity,한참 동안 생각에 잠겨 있던 영희가 철수에게 이야기한다.,"""사람들은 아이 아니면 어른이야.""","다음 보기에서 위 발화가 갖는 가장 적절한 의미를 고르세요.
(1) 사람의 유형은 미성숙한 사람과 성숙한 사람으로 나뉜다. 
(2) 사람들은 나이에 따라 아이 집단혹은 어른 집단에 속한다. 
(3) 영희는 사람을 이분법적으로 분류하며 자신의 차별적 가치관을 드러낸다. 
(4) 어린 시절의 추억은 무엇과도 바꿀 수 없다. ",위 발화가 갖는 가장 적절한 의미를 서술하세요.,1,"(1) answer
(2) literal interpretation
(3) wrong implicature within context
(4) wrong implicature out of context",미성숙한 사람과 성숙한 사람으로 사람의 유형을 분류할 수 있다는 의미.
12,quantity,한국에 사는 철수와 영희가 대화하고 있다. 철수가 영희에게 지금 독일이 몇 시인지 묻자 영희가 대답한다.,"""낮이거나 밤이거나 할 거야.""","다음 보기에서 위 발화가 갖는 가장 적절한 의미를 고르세요.
(1) 영희는 지금 독일이 몇 시인지 알지 못한다. 
(2) 독일의 시간은 현재 낮일 것이고, 아니라면 밤일 것이다. 
(3) 영희는 시계를 읽는 법을 모른다.  
(4) 철수가 가장 좋아하는 도시는 뮌헨이다. ",위 발화가 갖는 가장 적절한 의미를 서술하세요.,1,"(1) answer
(2) literal interpretation
(3) wrong implicature within context
(4) wrong implicature out of context",모른다는 의미.
13,quantity,부모님께 토라진 영희가 밥을 먹지 않자 아버지는 영희가 밥을 먹지 않는지 물었고 어머니는 다음과 같이 대답했다.,"""먹으려면 먹겠지요.""","다음 보기에서 위 발화가 갖는 가장 적절한 의미를 고르세요.
(1) 영희가 배가 고프면 알아서 밥을 먹을 것이니 걱정하지 않아도 된다. 
(2) 영희가 밥을 먹으려 하면 영희는 밥을 먹을 것이다. 
(3) 영희는 다이어트를 하고 있어 밥을 먹지 않을 것이다.   
(4) 가정이 화목해야 만사가 잘 된다. ",위 발화가 갖는 가장 적절한 의미를 서술하세요.,1,"(1) answer
(2) literal interpretation
(3) wrong implicature within context
(4) wrong implicature out of context",본인이 먹고 싶으면 먹을 테니 걱정하지 않아도 된다는 의미
14,quantity,오래 전에 실종된 아이를 기다리는 여자에게 남편이 말한다.,"""죽지 않았다면 살아 있겠지."" ","다음 보기에서 위 발화가 갖는 가장 적절한 의미를 고르세요.
(1) 아이가 어딘가에 살아 있을 가능성이 있으니 희망을 가져라. 
(2) 아이는 살아 있을 수도 있고 모종의 사고로 죽었을 수도 있다.  
(3) 이제는 아이를 잊고 당신의 삶에 집중해라.  
(4) 부부의 연은 쉽게 끊기 어렵다. ",위 발화가 갖는 가장 적절한 의미를 서술하세요.,1,"(1) answer
(2) literal interpretation
(3) wrong implicature within context
(4) wrong implicature out of context",위로하고 희망을 주는 의미.
15,quantity,회화 전시를 보던 영희는 함께 전시회에 온 미대생인 철수에게 너도 이런 그림을 그릴 수 있는 지 물었고 철수는 다음과 같이 대답했다.,"""그리면 그릴 거야.""","다음 보기에서 위 발화가 갖는 가장 적절한 의미를 고르세요.
(1) 아직 그려 보지 않았지만 시도해 본다면 그릴 수 있을 것 같다. 
(2) 그림을 그리면 그림을 그릴 수 있다.   
(3) 오랜 시간 화가로서 경력을 쌓는다면 그릴 수 있다.  
(4) 철수는 과제를 하느라 매일 학교에 늦게까지 남아 있어야 한다. ",위 발화가 갖는 가장 적절한 의미를 서술하세요.,1,"(1) answer
(2) literal interpretation
(3) wrong implicature within context
(4) wrong implicature out of context",해 보지 않았지만 시도해 보면 그릴 만하다는 의미.
16,quantity,철수는 얼마 전 직장에서 해고 당했다. 친구인 영희가 자신을 걱정하자 철수가 대답한다.,"""살려면 살겠지""","다음 보기에서 위 발화가 갖는 가장 적절한 의미를 고르세요.
(1) 어려운 상황이지만 노력하면 어떻게든 살아갈 수 있을 것이다. 
(2) 철수가 삶을 산다면 삶을 살 수 있을 것이다.   
(3) 철수는 직업을 잃은 탓에 삶에 대한 의욕을 완전히 잃어 버렸다.   
(4) 최근 경제가 침체되어 서민들의 생활이 어려워졌다. ",위 발화가 갖는 가장 적절한 의미를 서술하세요.,1,"(1) answer
(2) literal interpretation
(3) wrong implicature within context
(4) wrong implicature out of context",어려운 상황이지만 노력하면 어떻게든 살아갈 수 있을 것이라는 의미.
17,quantity,대학 입시 시험을 못보는 것을 걱정하는 영희에게 친구인 철수는 다음과 같이 말했다.,"""망하면 망하는 거지.""","다음 보기에서 위 발화가 갖는 가장 적절한 의미를 고르세요.
(1) 시험을 못 보는 것을 너무 심각하게 받아들이지 않는 것이 좋다. 
(2) 시험에서 망하면 망하는 것이다.    
(3) 철수는 시험을 망치지 않고 잘 볼 자신이 있다.    
(4) 졸업 사진은 평생 남는 것이니 잘 찍어야 한다. ",위 발화가 갖는 가장 적절한 의미를 서술하세요.,1,"(1) answer
(2) literal interpretation
(3) wrong implicature within context
(4) wrong implicature out of context",심각하지 않게 받아들이라는 의미.
18,quantity,중고 거래한 물건을 환불하러 온 구매자에게 판매자가 말한다.,"""사기로 했으면 사기로 한 거죠.""","다음 보기에서 위 발화가 갖는 가장 적절한 의미를 고르세요.
(1) 이미 거래가 끝났으니 환불이 불가능하다.  
(2) 물건을 사기로 하면 사기로 한다. 
(3) 구매자가 사기를 쳐서 거래를 했으니 거래는 무효가 된다.   
(4) 자원을 아껴 쓰는 것이 중요하다. ",위 발화가 갖는 가장 적절한 의미를 서술하세요.,1,"(1) answer
(2) literal interpretation
(3) wrong implicature within context
(4) wrong implicature out of context",환불이 불가하다는 의미.
19,quantity,"강연자가 청중에게 요즘 삶이 힘든 사람이 있는지 묻자, 한 학생이 손을 들었다. 강연자가 학생을 바라보자 학생이 말한다. ","""저 고3이에요.""","다음 보기에서 위 발화가 갖는 가장 적절한 의미를 고르세요.
(1) 수험생 생활을 하고 있어 삶이 힘들다. 
(2) 현재 고등학교에서 3학년으로 재학 중이다.  
(3) 수험생으로서 곧 대학에 갈 생각에 기대가 된다.  
(4) 목표를 이루기 위해 욕구를 참는 미래지향적 태도가 필요하다. ",위 발화가 갖는 가장 적절한 의미를 서술하세요.,1,"(1) answer
(2) literal interpretation
(3) wrong implicature within context
(4) wrong implicature out of context",고3 수험생 생활을 하고 있으니 삶이 힘들다는 의미
20,quantity,철수가 독서 중인 영희에게 무슨 책을 읽고 있는지 물어보자 영희가 대답한다.,"""그냥 책이야.""","다음 보기에서 위 발화가 갖는 가장 적절한 의미를 고르세요.
(1) 무슨 책을 읽고 있는지 자세히 이야기하고 싶지 않다. 
(2) 그냥 책을 읽고 있다.  
(3) 자신이 읽고 있는 책이 무엇인지 더 궁금해 해 줬으면 좋겠다.   
(4) 소설을 원작으로 한 영화 중에 명작이 많다. ",위 발화가 갖는 가장 적절한 의미를 서술하세요.,1,"(1) answer
(2) literal interpretation
(3) wrong implicature within context
(4) wrong implicature out of context",무슨 책을 읽고 있는지 자세히 밝히고 싶지 않다는 의미
21,quantity,연락이 끊긴 전 연인이 어디서 지내는지 궁금헤하는 철수에게 영희는 다음과 같이 말했다.,"""어딘가에 있겠지.""","다음 보기에서 위 발화가 갖는 가장 적절한 의미를 고르세요.
(1) 이전 연인이 어떻게 지내는지 관심을 갖는 것은 의미 없는 일이다. 
(2) 철수의 전 연인은 어딘가에 살고 있을 것이다.  
(3) 철수의 말을 들으니 영희도 이전 연인의 근황이 궁금하다.  
(4) 영희는 공간 감각이 좋지 않은 편이다. ",위 발화가 갖는 가장 적절한 의미를 서술하세요.,1,"(1) answer
(2) literal interpretation
(3) wrong implicature within context
(4) wrong implicature out of context",이전 연인에게 관심을 갖는 것에 큰 의미가 없다는 의미
22,quantity,회사에서 상사에게 부당한 대우를 받은 영희가 이야기한다.,"""두고 보세요, 저 김영희예요."" ","다음 보기에서 위 발화가 갖는 가장 적절한 의미를 고르세요.
(1) 나 김영희는 부당한 대우를 참고 넘어갈 사람이 아니다. 
(2) 시간을 두고 보면 나는 김영희일 것이다.   
(3) 영희는 상사에게 불만이 없다.
(4) 영희는 주말에 집에서 쉬는 것을 가장 좋아한다. ",위 발화가 갖는 가장 적절한 의미를 서술하세요.,1,"(1) answer
(2) literal interpretation
(3) wrong implicature within context
(4) wrong implicature out of context",자신은 부당한 대우를 참고 넘어갈 사람이 아니라는 의미.
23,quantity,갑자기 유학을 가기로 결심한 철수에게 영희가 어떻게 유학을 결심했는지 물었고 철수는 다음과 같이 대답했다.,"""인생은 한 번뿐이니까.""","다음 보기에서 위 발화가 갖는 가장 적절한 의미를 고르세요.
(1) 한 번뿐인 삶에서 후회하지 않는 선택을 하기 위해 유학이라는 도전을 결심했다. 
(2) 인생을 한 번 살 수 있기 때문이다.   
(3) 철수는 인생을 망치게 될까 두려워 유학을 통해 도피하고자 한다. 
(4) 누구도 자신의 미래를 예측할 수 없다. ",위 발화가 갖는 가장 적절한 의미를 서술하세요.,1,"(1) answer
(2) literal interpretation
(3) wrong implicature within context
(4) wrong implicature out of context",인생은 한 번뿐이기 때문에 후회하지 않는 선택을 하기 위해 유학이라는 도전을 결심했다는 의미.
24,quantity,철수와 영희는 한국에 사는 한국인이다. 요즘 영어 공부를 하기 시작하면서 대화 중간에 종종 영어를 섞어 말하는 철수에게 영희가 말한다.,"""여긴 한국이야.""","다음 보기에서 위 발화가 갖는 가장 적절한 의미를 고르세요.
(1) 영어를 섞어 가며 말하는 것을 지양해라. 
(2) 철수와 영희가 살고 있는 국가는 한국이다.  
(3) 철수는 한국 사람인데도 영어를 잘한다. 
(4) 영희는 교환학생을 다녀온 경험이 있다.",위 발화가 갖는 가장 적절한 의미를 서술하세요.,1,"(1) answer
(2) literal interpretation
(3) wrong implicature within context
(4) wrong implicature out of context",영어를 굳이 섞어 말하는 것을 지양하라는 의미.
25,quantity,붕어빵 가게 앞을 지나가던 철수가 영희에게 현금이 있는지 물었고 영희는 다음과 같이 말했다.,"""5만 원짜리밖에 없어.""","다음 보기에서 위 발화가 갖는 가장 적절한 의미를 고르세요.
(1) 붕어빵을 사려고 지불하기에는 금액이 너무 크다. 
(2) 지갑에 5만 원 지폐가 들어 있다.  
(3) 충분한 금액이 있으니 붕어빵을 얼마든지 사줄 수 있다. 
(4) 오늘은 날씨가 무척 춥다. ",위 발화가 갖는 가장 적절한 의미를 서술하세요.,1,"(1) answer
(2) literal interpretation
(3) wrong implicature within context
(4) wrong implicature out of context",붕어빵을 사 먹기에는 너무 금액이 크다는 의미.
26,quantity,새로운 은행 상품 가입에 필요한 계좌 잔고 기준이 50만 원이라는 설명을 들은 영희가 대답한다.,"""지금 통장에 50만 원이 있어요.""","다음 보기에서 위 발화가 갖는 가장 적절한 의미를 고르세요.
(1) 영희는 은행 상품에 가입할 수 있는 조건을 충족한다.  
(2) 영희의 현재 통장 잔고는 50만 원이다. 
(3) 영희는 새로운 은행 상품에 가입하는 것이 부담스럽다.  
(4) 영희는 가성비가 좋은 제품을 선호한다. ",위 발화가 갖는 가장 적절한 의미를 서술하세요.,1,"(1) answer
(2) literal interpretation
(3) wrong implicature within context
(4) wrong implicature out of context",계좌를 개설할 수 있는 조건을 충족한다는 의미(잔고가 정확히 50만 원이 아닐 수도 있음.)
27,quantity,철수가 영희는 월요일에 함께 수업을 듣는다. 수업이 끝난 뒤 철수가 영희에게 학교 앞에 새로 생긴 음식점에 가 보았냐고 물어 보자 영희가 대답한다.,"""응, 근데 매주 월요일은 휴무래.""","다음 보기에서 위 발화가 갖는 가장 적절한 의미를 고르세요.
(1) 오늘은 월요일이라 그 음식점에 갈 수 없다.   
(2) 영희는 학교 앞에 새로 생긴 음식점에 가 보았고, 월요일이 휴무일이라는 사실을 알게 되었다. 
(3) 오늘도 그 식당에서 점심을 먹을 것이다. 
(4) 영희는 아침 식사를 챙겨 먹는 편이다. ",위 발화가 갖는 가장 적절한 의미를 서술하세요.,1,"(1) answer
(2) literal interpretation
(3) wrong implicature within context
(4) wrong implicature out of context",월요일에는 가게가 닫으니까 오늘은 갈 수 없다는 의미.
28,quantity,민수와 철수는 학기 중에 매일 점심 식사를 함께 하는 친구이다. 민수는 이번 방학 때 계절학기를 듣기로 했다. 방학 중에 함께 점심을 먹을 친구를 찾는 민수가 철수에게 계절학기를 듣는 지를 물었고 철수는 다음과 같이 대답했다.,"""아니, 그런데 학교는 매일 나와.""","다음 보기에서 위 발화가 갖는 가장 적절한 의미를 고르세요.
(1) 방학 때도 민수와 같이 점심을 먹을 수 있다.  
(2) 철수는 방학 중에 계절학기를 듣지 않으며, 학교에 매일 온다. 
(3) 철수는 방학에도 쉴 수 없다는 사실에 슬퍼한다. 
(4) 철수는 친구가 많지 않은 편이다. ",위 발화가 갖는 가장 적절한 의미를 서술하세요.,1,"(1) answer
(2) literal interpretation
(3) wrong implicature within context
(4) wrong implicature out of context",방학 때도 같이 점심을 먹을 수 있다는 의미.
29,quantity,잃어버렸던 휴대폰을 찾아준 행인에게 사례를 했는지 궁금해하는 철수에게 영희는 다음과 같이 말했다.,"""드렸는데 괜찮으시대.""","다음 보기에서 위 발화가 갖는 가장 적절한 의미를 고르세요.
(1) 영희는 사례를 주고자 했지만 상대가 받지 않았다. 
(2) 영희는 사례비를 주었고, 상대는 사례를 받으며 괜찮다고 말했다. 
(3) 휴대폰을 찾아 준 사람이 영희가 준 사례비 금액에 흡족해 했다. 
(4) 영희는 얼마 전에 동생에게 성능이 좋은 노트북을 사 줬다. ",위 발화가 갖는 가장 적절한 의미를 서술하세요.,1,"(1) answer
(2) literal interpretation
(3) wrong implicature within context
(4) wrong implicature out of context",자신은 주고자 했지만 그 분이 받지 않아서 사례비를 주지 못했다는 의미
30,quantity,미국 여행을 계획 중인 영희는 예약 변경을 위해 호텔에 전화를 해야 하지만 영어에 자신이 없다. 그래서 영희는 철수에게 미국 호텔에 대신 전화를 해줄 수 있는지 물었고 철수는 다음과 같이 말했다.,"""내가 회화는 잘 못해.""","다음 보기에서 위 발화가 갖는 가장 적절한 의미를 고르세요.
(1) 철수는 영희 대신 호텔에 전화를 해줄 수 없다.  
(2) 철수의 영어 회화 실력이 뛰어난 편은 아니다.  
(3) 철수도 영어를 잘하는 편이긴 하지만 더 잘하는 사람이 많다. 
(4) 철수는 그림 그리는 데 일가견이 있다. ",위 발화가 갖는 가장 적절한 의미를 서술하세요.,1,"(1) answer
(2) literal interpretation
(3) wrong implicature within context
(4) wrong implicature out of context",호텔에 대신 전화해 줄 수 없다는 의미.
31,quality,회의를 하려 직원들이 모여 있는데 신입 직원이 30분 늦게 도착했다. 부장님이 신입 직원에게 다음과 같이 말했다.,“참 빨리도 왔네.”,"다음 보기에서 위 발화가 갖는 가장 적절한 의미를 고르세요.
(1) 부장님은 신입사원이 늦게 온 것이 못마땅하다. 
(2) 신입사원이 회의에 빨리 왔다. 
(3) 회의에 30분 정도 늦는 것은 회사에서 비일비재한 일이다. 
(4) 부장님은 아침에 회사에 와서 커피를 마시는 습관이 있다. ",위 발화가 갖는 가장 적절한 의미를 서술하세요.,1,"(1) answer
(2) literal interpretation
(3) wrong implicature within context
(4) wrong implicature out of context",부장님은 신입 직원이 늦게 온 것이 못마땅하다
32,quality,철수가 카페에서 공부하다가 노트북 위에 커피를 쏟았다. 그 모습을 본 영희가 철수에게 다음과 같이 말했다.,“참 잘도 한다”,"다음 보기에서 위 발화가 갖는 가장 적절한 의미를 고르세요.
(1) 철수의 실수를 나무란다. 
(2) 철수의 행동은 잘한 일이다. 
(3) 철수가 카페에서 공부하는 모습이 보기 좋다. 
(4) 철수는 일하는 공간과 쉬는 공간을 분리하는 편이다. ",위 발화가 갖는 가장 적절한 의미를 서술하세요.,1,"(1) answer
(2) literal interpretation
(3) wrong implicature within context
(4) wrong implicature out of context",영희는 철수의 실수를 나무란다
33,quality,하루종일 아무것도 먹지 못한 철수는 저녁이 되어서야 집에 돌아왔다. 철수의 어머니가 철수의 형에게 철수가 저녁을 먹었는지 물어보자 철수의 형은 다음과 같이 말했다.,“접시까지 씹어 먹더라고.”,"다음 보기에서 위 발화가 갖는 가장 적절한 의미를 고르세요.
(1) 철수는 저녁을 남김 없이 먹어 치웠다. 
(2) 철수는 음식과 접시를 모두 먹어 치웠다. 
(3) 철수는 형편 없는 요리에 화가 나 접시를 깼다.
(4) 철수는 집안일에 능숙하다. ",위 발화가 갖는 가장 적절한 의미를 서술하세요.,1,"(1) answer
(2) literal interpretation
(3) wrong implicature within context
(4) wrong implicature out of context",철수는 저녁을 남김없이 먹어치웠다
34,quality,영희의 아버지는 항상 커피에 설탕을 타서 마신다. 영희가 아버지를 위해 커피를 타드리자 영희의 아버지가 다음과 같이 말했다.,“이거 사약이네.”,"다음 보기에서 위 발화가 갖는 가장 적절한 의미를 고르세요.
(1) 영희가 가져다 준 커피가 쓰다. 
(2) 영희가 아버지에게 사약을 가져 왔다. 
(3) 영희가 탄 커피가 맛이 좋다. 
(4) 아버지는 나이가 들며 건강에 관심이 늘었다. ",위 발화가 갖는 가장 적절한 의미를 서술하세요.,1,"(1) answer
(2) literal interpretation
(3) wrong implicature within context
(4) wrong implicature out of context",커피가 쓰다.
